latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
30.616,76.598,319.2,1.1,1,2019-04-01,0815,Aqua,MODIS,68,6.0NRT,305.3,11,D
29.154,75.421,324.9,1,1,2019-04-01,0815,Aqua,MODIS,48,6.0NRT,313.8,6.6,D
30.325,76.062,323.6,1.1,1,2019-04-01,0815,Aqua,MODIS,74,6.0NRT,303.8,15.7,D
31.191,76.076,313.9,1,1,2019-04-02,0545,Terra,MODIS,59,6.0NRT,302.8,5.8,D
30.499,75.834,316.6,1,1,2019-04-02,0545,Terra,MODIS,66,6.0NRT,301.6,9.3,D
30.365,75.616,337.5,1,1,2019-04-02,0545,Terra,MODIS,88,6.0NRT,303.9,34.1,D
31.452,75.248,316.7,1,1,2019-04-02,0545,Terra,MODIS,37,6.0NRT,305.8,6.7,D
30.367,75.966,314.5,1,1,2019-04-02,0545,Terra,MODIS,62,6.0NRT,302.6,6.9,D
31.193,76.066,317.8,1,1,2019-04-02,0545,Terra,MODIS,68,6.0NRT,302.6,9.3,D
31.028,75.622,322.1,1.1,1,2019-04-03,0805,Aqua,MODIS,75,6.0NRT,299.9,14.8,D
31.194,75.67,318.3,1.1,1,2019-04-03,0805,Aqua,MODIS,69,6.0NRT,292.9,11.5,D
31.022,75.628,324.4,1.1,1,2019-04-03,0805,Aqua,MODIS,77,6.0NRT,300.5,16.8,D
31.073,75.849,314.9,1,1,2019-04-03,0805,Aqua,MODIS,62,6.0NRT,298.6,7.4,D
29.187,76.593,321.7,1,1,2019-04-04,0535,Terra,MODIS,61,6.0NRT,304.8,10.7,D
30.341,75.91,329.3,1.1,1.1,2019-04-04,0535,Terra,MODIS,81,6.0NRT,303.3,24.2,D
29.196,76.594,318.1,1,1,2019-04-04,0535,Terra,MODIS,43,6.0NRT,304.7,7.4,D
31.172,76.094,317.8,1.1,1.1,2019-04-04,0535,Terra,MODIS,64,6.0NRT,303.7,9.6,D
31.238,76.018,313.3,1.7,1.3,2019-04-06,0520,Terra,MODIS,52,6.0NRT,299,11.3,D
31.436,75.227,322,1.7,1.3,2019-04-06,0835,Aqua,MODIS,0,6.0NRT,299.7,24.7,D
29.792,75.527,319.1,1.1,1,2019-04-09,0550,Terra,MODIS,62,6.0NRT,307.8,7.4,D
31.492,75.729,318.2,1.1,1,2019-04-09,0550,Terra,MODIS,66,6.0NRT,304.3,6.5,D
30.085,74.035,324.9,1.1,1,2019-04-10,0810,Aqua,MODIS,65,6.0NRT,309.2,10.4,D
30.875,74.294,321.6,1.1,1,2019-04-10,0810,Aqua,MODIS,44,6.0NRT,304,7.6,D
30.296,75.895,319.8,2.5,1.5,2019-04-21,0615,Terra,MODIS,64,6.0NRT,300.9,29.7,D
29.675,76.428,323.8,1.4,1.2,2019-04-21,0750,Aqua,MODIS,41,6.0NRT,301,16.7,D
29.517,76.759,303.3,1.3,1.1,2019-04-21,1715,Terra,MODIS,54,6.0NRT,291.3,7.7,N
30.299,76.098,324.6,2.6,1.6,2019-04-24,0510,Terra,MODIS,74,6.0NRT,300.6,45.7,D
30.297,76.126,325.9,2.6,1.6,2019-04-24,0510,Terra,MODIS,76,6.0NRT,300.7,51.3,D
30.291,76.119,328.9,2.6,1.6,2019-04-24,0510,Terra,MODIS,79,6.0NRT,300.7,66.3,D
30.294,76.092,318.5,2.6,1.6,2019-04-24,0510,Terra,MODIS,61,6.0NRT,300.6,21,D
28.864,76.782,335.6,1.3,1.1,2019-04-24,0820,Aqua,MODIS,74,6.0NRT,314.6,19.8,D
30.494,75.8,329.5,1.2,1.1,2019-04-24,0820,Aqua,MODIS,72,6.0NRT,308.5,13.6,D
30.496,75.812,376,1.2,1.1,2019-04-24,0820,Aqua,MODIS,100,6.0NRT,309.9,152.5,D
31.365,75.718,322.8,1.1,1,2019-04-25,0550,Terra,MODIS,70,6.0NRT,303.8,10.6,D
29.911,74.947,305.2,1.4,1.2,2019-04-25,1650,Terra,MODIS,64,6.0NRT,294.1,9.3,N
30.961,74.995,331.2,1,1,2019-04-26,0810,Aqua,MODIS,74,6.0NRT,314.2,9.6,D
29.938,74.285,333,1.1,1,2019-04-26,0810,Aqua,MODIS,70,6.0NRT,312.4,12.5,D
30.959,74.984,348.6,1,1,2019-04-26,0810,Aqua,MODIS,93,6.0NRT,316.3,39.3,D
29.384,75.747,330.3,1,1,2019-04-27,0540,Terra,MODIS,60,6.0NRT,315.6,8.9,D
29.108,76.386,331,1,1,2019-04-27,0540,Terra,MODIS,65,6.0NRT,314.6,9.3,D
28.923,76.641,327.6,1,1,2019-04-27,0540,Terra,MODIS,36,6.0NRT,314.2,7.2,D
29.951,76.548,340.6,1,1,2019-04-27,0540,Terra,MODIS,85,6.0NRT,315.7,26.1,D
30.293,76.092,328.9,1,1,2019-04-27,0540,Terra,MODIS,66,6.0NRT,314.1,10.4,D
30.76,75.581,329.2,1,1,2019-04-27,0540,Terra,MODIS,70,6.0NRT,312.9,13,D
29.666,76.664,349.2,1,1,2019-04-27,0540,Terra,MODIS,92,6.0NRT,315.2,41.8,D
29.614,74.884,332.7,1.1,1,2019-04-27,0540,Terra,MODIS,68,6.0NRT,314.4,12.7,D
29.675,76.666,366.5,1,1,2019-04-27,0540,Terra,MODIS,100,6.0NRT,318.2,86.2,D
29.677,76.656,353.2,1,1,2019-04-27,0540,Terra,MODIS,95,6.0NRT,317.1,50.6,D
29.892,75.14,334.1,1.1,1,2019-04-27,0540,Terra,MODIS,74,6.0NRT,316,14.7,D
29.678,76.646,328.2,1,1,2019-04-27,0540,Terra,MODIS,62,6.0NRT,316,7.7,D
29.687,76.653,335.9,1,1,2019-04-27,0540,Terra,MODIS,77,6.0NRT,316.9,16.4,D
29.694,76.665,333.6,1,1,2019-04-27,0540,Terra,MODIS,61,6.0NRT,315.2,12.8,D
