Year,F_Month,F_Day,UTC Hour,PM2.5,Month,Day,acq_date
2016,3,3,8,123.8,03,03,2016-03-03
2016,3,3,9,141.6,03,03,2016-03-03
2016,3,3,10,133.9,03,03,2016-03-03
2016,3,3,11,134.5,03,03,2016-03-03
2016,3,3,12,142.7,03,03,2016-03-03
2016,3,3,13,155.2,03,03,2016-03-03
2016,3,3,14,152.1,03,03,2016-03-03
2016,3,3,15,193,03,03,2016-03-03
2016,3,3,16,161.3,03,03,2016-03-03
2016,3,3,17,102.8,03,03,2016-03-03
2016,3,3,19,122.8,03,03,2016-03-03
2016,3,3,20,141.3,03,03,2016-03-03
2016,3,3,21,133.8,03,03,2016-03-03
2016,3,3,22,98.6,03,03,2016-03-03
2016,3,3,23,98.4,03,03,2016-03-03
2016,3,4,0,47.8,03,04,2016-03-04
2016,3,4,1,48.6,03,04,2016-03-04
2016,3,4,2,65.6,03,04,2016-03-04
2016,3,4,3,45.2,03,04,2016-03-04
2016,3,4,4,37,03,04,2016-03-04
2016,3,4,5,46.8,03,04,2016-03-04
2016,3,4,6,43.5,03,04,2016-03-04
2016,3,4,7,53,03,04,2016-03-04
2016,3,4,8,71.9,03,04,2016-03-04
2016,3,4,9,116.1,03,04,2016-03-04
2016,3,4,10,92.3,03,04,2016-03-04
2016,3,4,11,34.9,03,04,2016-03-04
2016,3,4,12,37.5,03,04,2016-03-04
2016,3,4,13,45.6,03,04,2016-03-04
2016,3,4,14,60.4,03,04,2016-03-04
2016,3,4,15,73.4,03,04,2016-03-04
2016,3,4,16,70.9,03,04,2016-03-04
2016,3,4,17,59.9,03,04,2016-03-04
2016,3,4,18,33.7,03,04,2016-03-04
2016,3,4,19,43.2,03,04,2016-03-04
2016,3,4,20,85.9,03,04,2016-03-04
2016,3,4,21,82.3,03,04,2016-03-04
2016,3,4,22,142.3,03,04,2016-03-04
2016,3,4,23,64.5,03,04,2016-03-04
2016,3,5,0,53.8,03,05,2016-03-05
2016,3,5,1,51.6,03,05,2016-03-05
2016,3,5,2,34.1,03,05,2016-03-05
2016,3,5,3,40.3,03,05,2016-03-05
2016,3,5,4,43,03,05,2016-03-05
2016,3,5,5,49.9,03,05,2016-03-05
2016,3,5,6,43,03,05,2016-03-05
2016,3,5,7,61.9,03,05,2016-03-05
2016,3,5,8,58.5,03,05,2016-03-05
2016,3,5,9,39.8,03,05,2016-03-05
2016,3,5,10,25.9,03,05,2016-03-05
2016,3,5,11,36.1,03,05,2016-03-05
2016,3,5,12,35.5,03,05,2016-03-05
2016,3,5,13,58,03,05,2016-03-05
2016,3,5,14,34.4,03,05,2016-03-05
2016,3,5,15,26.5,03,05,2016-03-05
2016,3,5,16,29.2,03,05,2016-03-05
2016,3,5,17,31.7,03,05,2016-03-05
2016,3,5,18,99.7,03,05,2016-03-05
2016,3,5,19,120.7,03,05,2016-03-05
2016,3,5,20,110,03,05,2016-03-05
2016,3,5,21,56.4,03,05,2016-03-05
2016,3,5,22,56.3,03,05,2016-03-05
2016,3,5,23,111.1,03,05,2016-03-05
2016,3,6,0,33.1,03,06,2016-03-06
2016,3,6,1,41.1,03,06,2016-03-06
2016,3,6,2,26.6,03,06,2016-03-06
2016,3,6,3,112.2,03,06,2016-03-06
2016,3,6,4,58.5,03,06,2016-03-06
2016,3,6,5,119.5,03,06,2016-03-06
2016,3,6,6,64.5,03,06,2016-03-06
2016,3,6,7,58.9,03,06,2016-03-06
2016,3,6,8,54.4,03,06,2016-03-06
2016,3,6,9,89.9,03,06,2016-03-06
2016,3,6,10,35.4,03,06,2016-03-06
2016,3,6,11,55.7,03,06,2016-03-06
2016,3,6,12,68.4,03,06,2016-03-06
2016,3,6,13,92.7,03,06,2016-03-06
2016,3,6,14,63.9,03,06,2016-03-06
2016,3,6,15,46.9,03,06,2016-03-06
2016,3,6,16,54.2,03,06,2016-03-06
2016,3,6,17,67.9,03,06,2016-03-06
2016,3,6,18,98.7,03,06,2016-03-06
2016,3,6,19,114.8,03,06,2016-03-06
2016,3,6,20,146,03,06,2016-03-06
2016,3,6,21,190.6,03,06,2016-03-06
2016,3,6,22,182.2,03,06,2016-03-06
2016,3,6,23,148.3,03,06,2016-03-06
2016,3,7,0,182.5,03,07,2016-03-07
2016,3,7,1,121.2,03,07,2016-03-07
2016,3,7,2,71.3,03,07,2016-03-07
2016,3,7,3,66.2,03,07,2016-03-07
2016,3,7,4,56.2,03,07,2016-03-07
2016,3,7,5,55.3,03,07,2016-03-07
2016,3,7,6,54.6,03,07,2016-03-07
2016,3,7,7,84.1,03,07,2016-03-07
2016,3,7,8,72.9,03,07,2016-03-07
2016,3,7,9,93.8,03,07,2016-03-07
2016,3,7,10,75.2,03,07,2016-03-07
2016,3,7,11,77.6,03,07,2016-03-07
2016,3,7,12,76.5,03,07,2016-03-07
2016,3,7,13,80.8,03,07,2016-03-07
2016,3,7,14,67.5,03,07,2016-03-07
2016,3,7,15,69.9,03,07,2016-03-07
2016,3,7,16,79.8,03,07,2016-03-07
2016,3,7,17,92.9,03,07,2016-03-07
2016,3,7,18,87,03,07,2016-03-07
2016,3,7,19,142.3,03,07,2016-03-07
2016,3,7,20,155.9,03,07,2016-03-07
2016,3,7,21,202.6,03,07,2016-03-07
2016,3,7,22,96.3,03,07,2016-03-07
2016,3,7,23,68.2,03,07,2016-03-07
2016,3,8,0,46.5,03,08,2016-03-08
2016,3,8,1,43.9,03,08,2016-03-08
2016,3,8,2,33.3,03,08,2016-03-08
2016,3,8,3,35.6,03,08,2016-03-08
2016,3,8,4,27.6,03,08,2016-03-08
2016,3,8,5,38,03,08,2016-03-08
2016,3,8,6,35.2,03,08,2016-03-08
2016,3,8,7,50.5,03,08,2016-03-08
2016,3,8,8,131,03,08,2016-03-08
2016,3,8,9,112.4,03,08,2016-03-08
2016,3,8,10,88,03,08,2016-03-08
2016,3,8,11,87.5,03,08,2016-03-08
2016,3,8,12,678.8,03,08,2016-03-08
2016,3,8,13,171,03,08,2016-03-08
2016,3,8,14,178,03,08,2016-03-08
2016,3,8,15,163.8,03,08,2016-03-08
2016,3,8,16,187.3,03,08,2016-03-08
2016,3,8,17,198.4,03,08,2016-03-08
2016,3,8,18,270.2,03,08,2016-03-08
2016,3,8,19,248.2,03,08,2016-03-08
2016,3,8,20,252.9,03,08,2016-03-08
2016,3,8,21,196.5,03,08,2016-03-08
2016,3,8,22,164.9,03,08,2016-03-08
2016,3,8,23,101,03,08,2016-03-08
2016,3,9,0,50,03,09,2016-03-09
2016,3,9,1,48.8,03,09,2016-03-09
2016,3,9,2,39.1,03,09,2016-03-09
2016,3,9,3,19.3,03,09,2016-03-09
2016,3,9,4,29.3,03,09,2016-03-09
2016,3,9,5,32,03,09,2016-03-09
2016,3,9,6,648.7,03,09,2016-03-09
2016,3,9,7,646.4,03,09,2016-03-09
2016,3,9,8,648.9,03,09,2016-03-09
2016,3,9,9,651,03,09,2016-03-09
2016,3,9,10,650.4,03,09,2016-03-09
2016,3,9,11,665.3,03,09,2016-03-09
