latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.7427,76.6679,328.7,2.9,1.6,01-05-2017,618,Terra,MODIS,68,6.2,311.5,48.2,D,0
30.4988,74.0669,333.4,1.9,1.3,01-05-2017,618,Terra,MODIS,77,6.2,312.7,33.6,D,0
30.228,75.1271,330.2,2.3,1.5,01-05-2017,618,Terra,MODIS,73,6.2,315.3,28.3,D,0
30.5747,75.5177,328.7,2.3,1.5,01-05-2017,618,Terra,MODIS,73,6.2,312.8,27.4,D,0
30.425,75.3941,334,2.3,1.5,01-05-2017,618,Terra,MODIS,80,6.2,313.5,47.6,D,0
29.7439,76.6738,328,2.9,1.6,01-05-2017,618,Terra,MODIS,67,6.2,311.6,41.5,D,0
30.1786,75.2344,329.7,2.3,1.5,01-05-2017,618,Terra,MODIS,72,6.2,315.1,25.6,D,0
30.4283,75.3897,330,2.3,1.5,01-05-2017,618,Terra,MODIS,74,6.2,313.4,29.3,D,0
30.2613,75.6145,329.7,2.4,1.5,01-05-2017,618,Terra,MODIS,71,6.2,313.6,31.5,D,0
30.4467,74.0473,330.2,1.9,1.3,01-05-2017,618,Terra,MODIS,71,6.2,313.5,23.1,D,0
30.4504,74.0283,328.6,1.9,1.3,01-05-2017,618,Terra,MODIS,67,6.2,312.7,19.1,D,0
30.4938,74.0598,337.8,1.9,1.3,01-05-2017,618,Terra,MODIS,82,6.2,312.4,51.3,D,0
30.0704,75.3708,330.2,2.4,1.5,01-05-2017,618,Terra,MODIS,67,6.2,313.7,30.8,D,0
29.8406,75.8776,333,2.6,1.5,01-05-2017,618,Terra,MODIS,77,6.2,312.6,58.3,D,0
30.9331,74.8106,331,2.1,1.4,01-05-2017,618,Terra,MODIS,77,6.2,315.1,30.9,D,0
30.1834,75.2113,330.2,2.3,1.5,01-05-2017,618,Terra,MODIS,73,6.2,314.6,28,D,0
29.8486,75.8732,332.9,2.6,1.5,01-05-2017,618,Terra,MODIS,76,6.2,313.2,57.6,D,0
30.6562,74.055,324.7,1.9,1.3,01-05-2017,618,Terra,MODIS,37,6.2,308.9,15.2,D,0
30.2691,75.6233,330.7,2.4,1.5,01-05-2017,618,Terra,MODIS,28,6.2,314.1,34,D,0
29.1983,76.1655,326.5,2.8,1.6,01-05-2017,619,Terra,MODIS,46,6.2,310.7,32.3,D,0
