latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.569,75.08,315.6,1.1,1.1,01-10-2019,820,Aqua,MODIS,65,6.0NRT,298.5,6.9,D
31.479,74.977,314.5,1.1,1,01-10-2019,820,Aqua,MODIS,63,6.0NRT,298,7.6,D
31.519,75.148,315.8,1.1,1.1,01-10-2019,820,Aqua,MODIS,66,6.0NRT,298.5,8.2,D
32.235,73.837,314.1,1,1,01-10-2019,820,Aqua,MODIS,60,6.0NRT,297.7,7.2,D
31.826,74.37,310.4,1.1,1,01-10-2019,820,Aqua,MODIS,47,6.0NRT,297.1,5.2,D
34.667,78.518,303.3,1.2,1.1,02-10-2019,550,Terra,MODIS,42,6.0NRT,287.4,5.8,D
34.895,76.822,302.8,1.1,1,02-10-2019,550,Terra,MODIS,29,6.0NRT,285.2,5.6,D
33.192,77.084,302.1,1.1,1.1,02-10-2019,550,Terra,MODIS,25,6.0NRT,283.8,5.2,D
30.279,76.248,316.8,1,1,03-10-2019,810,Aqua,MODIS,73,6.0NRT,288,12.5,D
29.892,76.504,312.5,1,1,03-10-2019,810,Aqua,MODIS,57,6.0NRT,297,4.7,D
30.543,73.892,321.6,1.1,1,03-10-2019,810,Aqua,MODIS,76,6.0NRT,298.2,12.6,D
29.582,76.723,312.8,1,1,03-10-2019,810,Aqua,MODIS,52,6.0NRT,298.2,5.1,D
29.754,76.9,316.3,1,1,03-10-2019,810,Aqua,MODIS,66,6.0NRT,301,6.3,D
30.822,73.964,315.3,1.1,1,03-10-2019,810,Aqua,MODIS,62,6.0NRT,294.6,8.2,D
31.571,75.107,314.6,1,1,03-10-2019,810,Aqua,MODIS,65,6.0NRT,296.8,4.5,D
29.908,76.812,323,1,1,03-10-2019,810,Aqua,MODIS,77,6.0NRT,302.5,12.6,D
29.878,76.733,324.2,1,1,03-10-2019,810,Aqua,MODIS,78,6.0NRT,301.2,14.5,D
31.662,75.093,323.1,1,1,03-10-2019,810,Aqua,MODIS,80,6.0NRT,298.6,13.8,D
32.352,74.044,312.1,1,1,03-10-2019,810,Aqua,MODIS,57,6.0NRT,296.8,5.5,D
30.438,73.64,315.9,1.1,1.1,03-10-2019,810,Aqua,MODIS,68,6.0NRT,298.7,6.9,D
30.436,73.864,314.8,1.1,1,03-10-2019,810,Aqua,MODIS,56,6.0NRT,294,5.9,D
29.752,76.769,323.8,1,1,04-10-2019,540,Terra,MODIS,81,6.0NRT,295.4,16.9,D
