Year,Month,Day,Hour,PM 2.5
2019,10,1,0,21.7
2019,10,1,1,23.4
2019,10,1,2,23.4
2019,10,1,3,23.5
2019,10,1,4,23.7
2019,10,1,5,32.7
2019,10,1,6,34
2019,10,1,7,31.5
2019,10,1,8,30.6
2019,10,1,9,32.6
2019,10,1,10,30.4
2019,10,1,11,29.7
2019,10,1,12,29.4
2019,10,1,13,27.1
2019,10,1,14,25.1
2019,10,1,15,23.7
2019,10,1,16,24.5
2019,10,1,17,27.9
2019,10,1,18,29.5
2019,10,1,19,30.1
2019,10,1,20,33.1
2019,10,1,21,33
2019,10,1,22,33.2
2019,10,1,23,32.6
2019,10,2,0,29.9
2019,10,2,1,30.2
2019,10,2,2,30.2
2019,10,2,3,37.9
2019,10,2,4,37.9
2019,10,2,5,45.3
2019,10,2,6,45.2
2019,10,2,7,30.5
2019,10,2,8,32.8
2019,10,2,9,34.3
2019,10,2,10,41.5
2019,10,2,11,41.5
2019,10,2,12,41.8
2019,10,2,13,34.8
2019,10,2,14,29
2019,10,2,15,28.3
2019,10,2,16,53.5
2019,10,2,17,60.5
2019,10,2,18,60.7
2019,10,2,19,60.9
2019,10,2,20,65.1
2019,10,2,21,65.1
2019,10,2,22,62.3
2019,10,2,23,62.3
2019,10,3,0,63.4
2019,10,3,1,63.4
2019,10,3,2,47
2019,10,3,3,68.8
2019,10,3,4,75.8
2019,10,3,5,78.3
2019,10,3,6,77.9
2019,10,3,7,85.8
2019,10,3,8,67.7
2019,10,3,9,55
2019,10,3,10,57.3
2019,10,3,11,57.3
2019,10,3,12,57.8
2019,10,3,13,55.5
2019,10,3,14,47.9
2019,10,3,15,49
2019,10,3,16,54.3
2019,10,3,17,42
2019,10,3,18,37
2019,10,3,19,23.3
2019,10,3,20,23.3
2019,10,3,21,24.2
2019,10,3,22,23.9
2019,10,3,23,26.7
2019,10,4,0,29.9
2019,10,4,1,36.3
2019,10,4,2,37.3
2019,10,4,3,37.3
2019,10,4,4,37.5
2019,10,4,5,38.2
2019,10,4,6,52.8
2019,10,4,7,50.4
2019,10,4,8,53.9
2019,10,4,9,53.7
2019,10,4,10,52.3
2019,10,4,11,47.6
2019,10,4,12,45.9
2019,10,4,13,48.2
2019,10,4,14,48.2
2019,10,4,15,48.1
2019,10,4,16,40.4
2019,10,4,17,41
2019,10,4,18,41
2019,10,4,19,41.2
2019,10,4,20,45.5
2019,10,4,21,43.1
2019,10,4,22,49.2
2019,10,4,23,46.9
2019,10,5,0,40.4
2019,10,5,1,40.4
2019,10,5,2,36.4
2019,10,5,3,35.6
2019,10,5,4,31.4
2019,10,5,5,33
2019,10,5,6,33
2019,10,5,7,32.5
2019,10,5,8,32.4
2019,10,5,9,21.8
2019,10,5,10,19.3
2019,10,5,11,19.8
2019,10,5,12,22.5
2019,10,5,13,23.7
2019,10,5,14,24.3
2019,10,5,15,28.1
2019,10,5,16,36.9
2019,10,5,17,42.8
2019,10,5,18,47.5
2019,10,5,19,51.9
2019,10,5,20,62.9
2019,10,5,21,60.3
2019,10,5,22,55.4
2019,10,5,23,55.4
2019,10,6,0,54.4
2019,10,6,1,52
2019,10,6,2,47
2019,10,6,3,56.8
2019,10,6,4,66
2019,10,6,5,70.2
2019,10,6,6,70.8
2019,10,6,7,83.8
2019,10,6,8,79.7
2019,10,6,9,53.3
2019,10,6,10,43.6
2019,10,6,11,43.6
2019,10,6,12,43.7
2019,10,6,13,43.6
2019,10,6,14,46.9
2019,10,6,15,47
2019,10,6,16,47.3
2019,10,6,17,49.8
